,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
352,baft,79,IR,1651939366,43,29.234,56.6057,61.2,20.47
353,nicoya,37,CR,1651939367,63,10.1483,-85.452,87.21,1.45
354,olafsvik,100,IS,1651939314,82,64.8945,-23.7142,43.65,18.5
355,daulatpur,1,PK,1651939367,29,26.5015,67.9706,96.04,15.3
356,comodoro rivadavia,100,AR,1651939367,54,-45.8667,-67.5,64.13,24.02
357,husavik,100,IS,1651939368,71,66.0449,-17.3389,42.42,1.48
358,victoria,100,HK,1651939314,79,22.2855,114.1577,77.38,5.01
359,woodstock,28,CA,1651939368,41,43.1334,-80.7497,57.65,4.0
360,ndele,100,CF,1651939369,52,8.4109,20.6473,85.87,6.2
361,eagle pass,0,US,1651939282,38,28.7091,-100.4995,88.65,11.63
362,cabedelo,96,BR,1651939370,76,-6.9811,-34.8339,83.07,13.85
363,senador guiomard,13,BR,1651939370,50,-10.1522,-67.7392,83.95,5.7
364,tupik,7,RU,1651939370,35,54.4253,119.9327,37.65,4.32
365,adrar,17,MR,1651939371,9,20.5022,-10.0711,102.6,4.05
366,gwadar,0,PK,1651939371,82,25.1216,62.3254,81.88,11.34
367,vestmanna,20,FO,1651939372,57,62.1564,-7.1664,47.32,9.22
368,belyy yar,0,RU,1651939372,49,53.6039,91.3903,46.29,20.13
